City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Carahue,100,CL,1537652780,100,-38.71,-73.16,50.45,5.47
Caravelas,76,BR,1537652780,100,-17.73,-39.27,77.09,5.72
Carnarvon,0,ZA,1537652781,27,-30.97,22.13,52.43,4.97
Carutapera,0,BR,1537652513,73,-1.2,-46.02,82.31,5.37
Castanheira de Pera,0,PT,1537650000,88,40.0,-8.21,64.4,2.1
Castro,92,CL,1537652782,91,-42.48,-73.76,48.379999999999995,3.97
Caucaia,0,BR,1537650000,74,-3.73,-38.66,80.6,3.6
Cayenne,0,GF,1537650000,74,4.94,-52.33,84.2,4.1
Central Point,40,US,1537649760,40,42.38,-122.91,69.98,3.1
Changde,92,CN,1537652786,100,29.04,111.68,66.83000000000001,2.67
Chapais,90,CA,1537650000,48,49.78,-74.86,42.8,4.6
Charagua,75,BO,1537650000,32,-19.79,-63.2,95.0,5.1
Charleville,0,AU,1537651740,20,-26.41,146.24,64.4,2.6
Charters Towers,0,AU,1537652812,81,-20.07,146.27,59.900000000000006,3.92
Chernyshevskiy,0,RU,1537652813,89,63.01,112.47,38.21,2.77
Cherskiy,80,RU,1537652814,97,68.75,161.3,34.16,1.07
Chimbote,20,PE,1537652819,83,-9.08,-78.59,67.28,3.92
Chinhoyi,0,ZW,1537652820,24,-17.36,30.19,68.81,5.42
Chinsali,0,ZM,1537652822,30,-10.55,32.07,68.36,5.92
Chokurdakh,92,RU,1537652524,99,70.62,147.9,33.26,1.97
Chumikan,8,RU,1537652595,94,54.72,135.31,40.28,1.72
Churapcha,92,RU,1537652530,78,62.0,132.43,41.629999999999995,2.92
Chuy,20,UY,1537652825,64,-33.69,-53.46,79.97,7.27
Cidreira,0,BR,1537652827,74,-30.17,-50.22,75.83000000000001,4.67
Clearwater,75,US,1537650900,52,27.97,-82.8,91.94,3.6
Clyde River,75,CA,1537650000,100,70.47,-68.59,28.4,3.1
Coahuayana,32,MX,1537652833,65,18.62,-100.35,82.03999999999999,1.32
Cockburn Town,0,TC,1537652612,99,21.46,-71.14,83.93,5.12
Codrington,44,AU,1537652837,90,-28.95,153.24,54.5,1.32
Coihaique,90,CL,1537650000,81,-45.58,-72.07,46.4,3.1
Coihueco,75,CL,1537650000,67,-36.63,-71.83,59.0,3.6
Colares,0,PT,1537651800,56,38.8,-9.45,73.4,4.6
Comodoro Rivadavia,75,AR,1537650000,93,-45.87,-67.48,44.6,4.1
Conceicao do Araguaia,20,BR,1537652845,39,-8.26,-49.26,91.76,1.52
Concepcion del Uruguay,36,AR,1537652847,83,-32.48,-58.24,75.74000000000001,5.22
Constitucion,90,MX,1537649100,53,23.99,-104.67,73.4,7.2
Dakar,8,SN,1537652850,99,14.69,-17.45,82.13,4.97
Dalvik,92,SE,1537651200,93,57.79,14.13,48.2,5.7
Dano,44,BF,1537652853,71,11.14,-3.06,80.15,2.77
Darhan,0,MN,1537652854,68,49.49,105.92,23.9,1.57
Deputatskiy,36,RU,1537652855,76,69.3,139.9,15.259999999999998,1.17
Derzhavinsk,76,KZ,1537652857,83,51.1,66.31,49.370000000000005,2.77
Dikson,92,RU,1537652858,90,73.51,80.55,41.81,7.17
Dingle,64,PH,1537652859,98,11.0,122.67,72.86,1.22
Dudinka,92,RU,1537652860,97,69.41,86.18,43.97,5.82
Dunedin,12,NZ,1537652664,85,-45.87,170.5,51.26,0.57
East London,68,ZA,1537652863,100,-33.02,27.91,65.12,6.02
Egvekinot,44,RU,1537652565,96,66.32,-179.17,34.43,1.42
Eirunepe,12,BR,1537652865,54,-6.66,-69.87,91.4,1.07
Encheng,68,CN,1537652866,95,22.74,107.09,70.16,0.77
Esperance,20,TT,1537650000,74,10.24,-61.45,86.0,3.6
Estevan,90,CA,1537650900,100,49.14,-102.99,41.0,9.8
Faanui,92,PF,1537652594,100,-16.48,-151.75,74.48,6.87
Fairbanks,90,US,1537651440,100,64.84,-147.72,46.94,2.6
Flinders,64,AU,1537650000,93,-34.58,150.85,53.6,3.6
Fort Nelson,5,CA,1537650000,30,58.81,-122.69,55.400000000000006,3.1
Fortuna,0,ES,1537651800,88,38.18,-1.13,73.4,1.0
Freetown,75,BS,1537650000,78,26.61,-78.36,82.4,4.87
Fuerte,24,PH,1537652875,86,17.54,120.36,69.71000000000001,2.52
Gamba,24,CN,1537652877,64,28.28,88.52,21.65,0.77
Gannan,20,CN,1537652878,93,47.92,123.49,43.79,3.82
Gao,0,ML,1537652879,47,16.28,-0.04,86.53999999999999,1.87
Gat,20,SN,1537652881,82,14.69,-16.54,82.22,4.42
General Roca,20,AR,1537650000,16,-39.03,-67.58,69.80000000000001,10.8
Georgetown,20,GY,1537650000,74,6.8,-58.16,84.2,3.1
Geraldton,90,CA,1537650000,93,49.72,-86.95,37.4,2.1
Goderich,0,CA,1537652885,82,43.74,-81.71,59.900000000000006,2.52
Goregaon,100,IN,1537652886,95,21.34,80.2,73.03999999999999,3.57
Gorin,1,US,1537650900,46,40.36,-92.02,71.6,2.42
Grand Gaube,75,MU,1537650000,69,-20.01,57.66,75.2,6.2
Gravdal,92,NO,1537651200,76,59.79,5.78,51.8,12.3
Guerrero Negro,0,MX,1537652889,60,27.97,-114.04,81.41,5.57
Guhagar,92,IN,1537652889,100,17.48,73.19,76.46000000000001,5.12
Guider,12,CM,1537652890,82,9.93,13.94,72.5,0.77
Haines City,1,US,1537652100,52,28.11,-81.63,91.03999999999999,6.2
Haines Junction,76,CA,1537652655,50,60.75,-137.51,43.7,2.17
Half Moon Bay,90,US,1537652100,93,37.46,-122.43,87.08000000000001,4.1
Hambantota,76,LK,1537652817,100,6.12,81.12,78.08000000000001,4.82
Hami,0,CN,1537652902,45,42.84,93.51,50.18,3.27
Hargeysa,0,SO,1537652903,47,9.56,44.06,60.44,2.87
Hasaki,75,JP,1537650000,94,35.73,140.83,71.6,2.1
Hay River,20,CA,1537650000,17,60.82,-115.79,53.6,7.7
Henties Bay,0,NA,1537652906,97,-22.12,14.28,55.76,2.32
Hermanus,0,ZA,1537652660,98,-34.42,19.24,40.55,1.72
Hibbing,40,US,1537650900,58,47.43,-92.94,60.8,2.6
Hilo,75,US,1537649580,64,19.71,-155.08,82.03999999999999,4.6
Hithadhoo,56,MV,1537652911,100,-0.6,73.08,83.93,3.42
Hobart,75,AU,1537651800,65,-42.88,147.33,46.4,3.6
Hobyo,0,SO,1537652913,86,5.35,48.53,76.37,9.22
Hofn,68,IS,1537652915,100,64.25,-15.21,41.629999999999995,2.57
Honningsvag,8,NO,1537652917,92,70.98,25.97,49.01,7.32
Huangnihe,20,CN,1537652917,94,43.56,128.02,39.74,0.97
Huarmey,0,PE,1537652919,52,-10.07,-78.15,73.49000000000001,1.77
Huicheng,40,CN,1537650000,94,23.03,116.29,80.6,1.0
Huntsville,1,US,1537652100,43,34.73,-86.59,91.4,3.6
Husavik,92,CA,1537652923,100,50.56,-96.99,42.8,5.57
Iberia,24,PE,1537652924,72,-11.41,-69.49,84.56,1.22
Idlib,20,SY,1537649400,78,35.93,36.64,77.0,4.6
Ilhabela,12,BR,1537652927,100,-23.78,-45.36,70.52,4.32
Ilulissat,0,GL,1537649400,46,69.22,-51.1,28.4,1.5
Impfondo,68,CD,1537652930,98,1.62,18.06,71.33000000000001,0.87
Inhambane,80,MZ,1537652931,98,-23.87,35.38,72.41,4.27
Inhuma,0,BR,1537652933,26,-6.67,-41.71,90.32,2.47
Ipixuna,40,BR,1537650000,83,-1.76,-48.8,80.6,3.6
Iqaluit,90,CA,1537650000,69,63.75,-68.52,37.4,4.1
Iquique,90,CL,1537650000,67,-20.22,-70.14,62.6,3.6
Iralaya,80,HN,1537652940,87,15.0,-83.23,83.12,3.77
Isangel,0,VU,1537652940,100,-19.55,169.27,71.06,8.12
Isugod,64,PH,1537652941,100,9.34,118.12,77.9,2.87
Itarema,0,BR,1537652941,60,-2.92,-39.92,83.21000000000001,7.62
Ixtapa,75,MX,1537649100,79,20.71,-105.21,87.80000000000001,6.2
Jamestown,24,AU,1537652943,75,-33.21,138.6,36.68,1.12
Japura,0,ID,1537652944,98,-0.42,102.29,70.43,0.92
Jevnaker,24,NO,1537652944,73,60.24,10.38,48.74,2.97
Jieshou,0,CN,1537652945,79,33.26,115.35,57.74,1.22
Jojoima,88,SL,1537652945,98,7.88,-10.79,73.13,2.52
Jutai,56,BR,1537652948,84,-1.71,-47.89,80.24000000000001,1.42
Kadoshkino,0,RU,1537652949,79,54.03,44.42,58.730000000000004,4.32
Kaeo,8,NZ,1537652951,93,-35.1,173.78,58.01,4.37
Kaitangata,32,NZ,1537652953,69,-46.28,169.85,53.24,8.62
Kaka,0,TM,1537652954,85,37.35,59.62,47.39,1.17
Kakching,24,IN,1537652956,95,24.5,93.98,68.36,0.87
Kamiiso,40,JP,1537650600,82,41.82,140.65,66.2,4.6
Kano,68,NG,1537652957,73,11.99,8.53,76.1,1.52
Kapaa,90,US,1537652340,77,22.08,-159.32,82.94,5.1
Kargopol,48,RU,1537652961,85,61.51,38.95,57.56,5.97
Karratha,0,AU,1537652962,35,-20.74,116.85,56.3,1.57
Kashin,44,RU,1537652963,55,57.36,37.61,66.2,6.02
Katima Mulilo,0,NA,1537652963,32,-17.5,24.28,73.22,3.77
Katobu,32,ID,1537652964,100,-4.94,122.53,77.72,2.22
Katsuura,75,JP,1537651200,94,33.93,134.5,68.0,2.1
Kavaratti,12,IN,1537652966,100,10.57,72.64,79.52,1.32
Kavieng,12,PG,1537652967,100,-2.57,150.8,83.84,2.62
Kehychivka,0,UA,1537652967,61,49.29,35.77,59.18,2.47
Keokuk,1,US,1537652100,49,40.4,-91.39,73.4,1.5
Ketchikan,1,US,1537649760,55,55.34,-131.65,62.96,5.1
Keti Bandar,76,PK,1537652971,97,24.14,67.45,80.69,8.17
Khatanga,80,RU,1537652972,97,71.98,102.47,40.1,2.47
Kichera,0,RU,1537652973,100,55.93,110.1,29.57,1.47
Kigorobya,24,UG,1537652973,100,1.62,31.31,75.74000000000001,1.77
Kimbe,92,PG,1537652975,100,-5.56,150.15,73.13,2.42
Kirakira,68,SB,1537652977,100,-10.46,161.92,80.6,5.47
Kisangani,12,CD,1537652978,97,0.52,25.21,73.75999999999999,1.47
Klaksvik,76,FO,1537651200,75,62.23,-6.59,42.8,6.2
Kloulklubed,90,PW,1537649400,88,7.04,134.26,78.80000000000001,7.7
Ko Samui,88,TH,1537652981,100,9.54,99.94,79.34,1.97
Kodar,32,IN,1537652982,97,16.98,79.97,76.19,2.22
Kodiak,1,US,1537649580,42,39.95,-94.76,71.96000000000001,1.5
Koltubanovskiy,64,RU,1537652985,83,52.94,52.03,59.629999999999995,3.12
Komsomolskiy,92,RU,1537652987,97,67.55,63.78,46.49,7.27
Kondopoga,80,RU,1537650000,81,62.21,34.27,53.6,3.0
Kontagora,80,NG,1537652989,96,10.4,5.47,75.02,1.02
Kosh-Agach,8,RU,1537652992,73,49.99,88.66,26.24,1.42
Kosonsoy,100,UZ,1537650000,67,41.25,71.55,62.6,3.1
Krasnoborsk,0,RU,1537652994,86,61.56,45.93,61.61,4.02
Kropotkin,0,RU,1537652995,52,45.43,40.58,64.03999999999999,4.07
Kruisfontein,0,ZA,1537652997,97,-34.0,24.73,55.58,2.42
Kuching,75,MY,1537651800,94,1.56,110.34,77.0,1.0
Kutum,0,SD,1537652999,30,14.2,24.66,81.59,4.77
Kwinana,12,AU,1537651800,100,-32.25,115.77,57.2,2.6
La Ronge,40,CA,1537650000,44,55.1,-105.3,41.0,2.1
Lagoa,0,PT,1537651800,42,37.14,-8.45,80.6,3.1
Laguna,20,MX,1537648800,53,27.52,-110.01,95.0,1.52
Lakatoro,0,VU,1537653005,91,-16.11,167.42,75.28999999999999,5.37
Lakheri,100,IN,1537653005,97,25.67,76.19,73.85,4.07
Lapao,0,BR,1537653006,26,-11.38,-41.83,85.00999999999999,3.82
Lasa,0,CY,1537651800,73,34.92,32.53,77.0,3.1
Lata,92,IN,1537653011,100,30.78,78.62,53.42,0.77
Lavrentiya,0,RU,1537653013,92,65.58,-170.99,45.41,10.52
Lazaro Cardenas,75,MX,1537649280,49,28.39,-105.62,73.4,2.6
Ledziny,0,PL,1537651800,66,50.14,19.13,51.8,2.6
Leningradskiy,92,RU,1537653016,100,69.38,178.42,41.18,0.32
Lesozavodsk,44,RU,1537653017,82,45.47,133.42,44.78,2.52
Lewistown,1,US,1537652100,44,40.39,-90.15,70.7,2.6
Lloydminster,90,CA,1537650000,59,53.28,-110.01,35.6,7.7
Lokachi,0,UA,1537653020,88,50.74,24.65,46.58,5.02
Lompoc,1,US,1537652100,33,34.64,-120.46,86.0,4.6
Longonjo,12,AO,1537653023,47,-12.91,15.25,62.24,0.32
Longyearbyen,75,NO,1537649400,64,78.22,15.63,33.8,9.8
Lorengau,56,PG,1537653025,100,-2.02,147.27,82.58000000000001,1.97
Loreto,0,PY,1537653027,42,-23.27,-57.32,95.0,6.02
Los Llanos de Aridane,0,ES,1537651800,83,28.66,-17.92,73.4,6.7
Loyga,0,RU,1537653030,86,61.08,44.61,61.06999999999999,6.62
Luderitz,12,NA,1537653031,77,-26.65,15.16,56.21,7.97
Lufilufi,40,WS,1537650000,66,-13.87,-171.6,86.0,5.1
Maceio,0,BR,1537650000,83,-9.67,-35.74,73.4,5.1
Mackenzie,90,CA,1537650000,45,55.34,-123.09,46.4,1.5
Mahebourg,75,MU,1537650000,69,-20.41,57.7,75.2,6.2
Mahibadhoo,68,MV,1537653039,100,3.78,72.97,82.85,4.47
मलिम ६६७,0,NP,1537653041,99,26.88,88.04,66.11,0.72
Mana,20,RS,1537651800,82,43.52,20.24,55.400000000000006,0.5
Mangrol,88,IN,1537653044,96,25.33,76.51,74.66,4.32
Manokwari,8,ID,1537653044,100,-0.87,134.08,81.23,0.57
Manzil Kamil,75,TN,1537651800,94,35.62,10.67,71.6,7.2
Mar del Plata,92,AR,1537653047,100,-46.43,-67.52,41.0,5.22
Marondera,0,ZW,1537653049,50,-18.19,31.55,57.11,2.97
Marquette,20,US,1537649760,39,46.54,-87.4,64.03999999999999,6.2
Martapura,0,ID,1537650000,94,-3.41,114.85,71.6,0.5
Marzuq,0,YE,1537653053,21,14.4,46.47,61.25,2.57
Matagami,68,NG,1537653055,97,9.67,8.4,68.99000000000001,0.52
Matamoros,90,US,1537652100,63,25.87,-97.51,91.4,5.7
Mataura,8,NZ,1537653057,74,-46.19,168.86,52.790000000000006,6.37
Mednogorsk,32,RU,1537653058,80,51.41,57.59,46.67,1.97
Melfi,0,IT,1537653059,90,41.0,15.66,59.540000000000006,0.57
Midwest City,75,US,1537650900,64,35.45,-97.4,77.0,6.2
Misratah,0,LY,1537653067,85,32.38,15.09,78.80000000000001,3.77
Mladenovac,0,RS,1537651800,59,44.44,20.69,60.8,2.1
Moba,0,CD,1537653069,79,-7.04,29.77,69.98,2.42
Mogadishu,76,SO,1537653070,100,2.04,45.34,77.81,6.02
Moose Factory,90,CA,1537651500,93,51.26,-80.61,37.4,3.6
Moscow,0,RU,1537650000,68,55.75,37.62,66.2,5.0
Mount Gambier,12,AU,1537653074,89,-37.83,140.78,48.11,2.42
Mount Isa,0,AU,1537651800,32,-20.73,139.49,69.80000000000001,3.6
Muravlenko,64,RU,1537653077,93,63.79,74.5,45.95,1.17
Murillo,40,CO,1537650000,64,4.87,-75.17,86.0,1.5
Muros,0,ES,1537651800,100,42.77,-9.06,62.6,0.5
Muzhi,76,RU,1537653081,83,65.4,64.7,46.4,5.22
Nagato,75,JP,1537650000,83,34.35,131.14,71.6,1.0
Nagtipunan,44,PH,1537653085,100,16.22,121.6,69.98,1.22
Najran,0,SA,1537650000,16,17.54,44.22,77.0,1.0
Namibe,20,AO,1537653089,98,-15.19,12.15,65.93,3.47
Nandi,0,KE,1537650000,87,0.19,35.1,73.4,2.1
Nanortalik,92,GL,1537653092,100,60.14,-45.24,37.58,8.27
Nara,40,JP,1537650000,88,34.68,135.8,69.80000000000001,1.5
Narsaq,75,GL,1537649400,69,60.91,-46.05,39.2,2.6
Nawa,92,IN,1537653097,98,27.02,75.0,73.75999999999999,3.67
Naze,64,NG,1537653098,95,5.43,7.07,72.14,1.97
Necochea,0,AR,1537653099,83,-38.55,-58.74,61.16,5.12
Negombo,20,LK,1537650600,88,7.21,79.83,77.0,2.6
Nerchinsk,0,RU,1537653104,68,51.98,116.59,35.24,2.92
New Norfolk,75,AU,1537651800,77,-42.78,147.06,46.4,3.6
Nieuw Amsterdam,20,SR,1537650000,58,5.88,-55.08,91.4,4.1
Nikolskoye,0,RU,1537650000,81,59.7,30.79,51.8,2.0
Niquero,64,CU,1537653112,86,20.04,-77.58,86.63,2.12
Nishihara,90,JP,1537651560,83,35.74,139.53,73.4,1.12
Nivala,56,FI,1537653114,73,63.93,24.96,50.81,5.27
Nizhneangarsk,0,RU,1537653115,100,55.78,109.57,29.57,1.47
Nola,32,CF,1537653116,93,3.52,16.05,72.14,1.02
Nome,40,US,1537650900,80,30.04,-94.42,82.03999999999999,2.1
Norman Wells,40,CA,1537650000,32,65.28,-126.83,51.8,4.1
Northam,75,GB,1537651200,93,51.04,-4.21,51.8,2.6
Nouadhibou,0,MR,1537653120,58,20.93,-17.03,81.86,8.82
Noumea,75,NC,1537651800,68,-22.28,166.46,68.0,4.6
Nova Olimpia,12,BR,1537653124,55,-14.8,-57.29,92.03,1.22
Novaya Igirma,0,RU,1537653126,96,57.14,103.93,31.73,2.02
Novikovo,0,UA,1537653127,100,45.05,34.56,54.230000000000004,1.12
Nueve de Julio,0,AR,1537653128,14,-31.67,-68.39,87.08000000000001,3.62
Okha,12,RU,1537653131,93,53.59,142.95,37.49,1.32
Ola,0,RU,1537650000,100,59.58,151.3,42.8,1.0
Oriximina,0,BR,1537653134,48,-1.77,-55.87,91.03999999999999,2.77
Orlik,8,RU,1537653136,58,52.51,99.83,8.599999999999998,0.82
Ostrovnoy,12,RU,1537653066,79,68.05,39.51,59.09,10.87
Ottumwa,1,US,1537652100,40,41.02,-92.41,71.6,2.57
Oudtshoorn,0,ZA,1537650000,87,-33.59,22.2,50.0,1.5
Ouro Preto do Oeste,44,BR,1537653141,67,-10.75,-62.22,85.64,0.52
Oussouye,64,SN,1537653142,95,12.49,-16.54,82.4,5.67
Outram,12,NZ,1537653143,85,-45.86,170.23,51.26,0.57
Owando,76,CG,1537653144,83,-0.49,15.91,78.62,0.62
Paamiut,80,GL,1537653146,97,61.99,-49.67,39.92,15.12
Pacific Grove,1,US,1537652100,39,36.62,-121.92,80.6,6.7
Padang,20,ID,1537653148,100,-0.92,100.36,81.41,2.42
Pak Phanang,12,TH,1537653149,100,8.35,100.2,76.46000000000001,2.17
Palaikastron,0,GR,1537653152,98,35.2,26.25,76.00999999999999,8.27
Palmer,40,AU,1537652340,87,-34.85,139.16,53.6,2.87
Pangkalanbuun,0,ID,1537653155,91,-2.68,111.62,70.78999999999999,2.07
Panguna,92,PG,1537653157,95,-6.32,155.48,72.95,2.67
Pasighat,24,IN,1537653158,95,28.06,95.33,66.74000000000001,0.72
Payo,8,ID,1537653159,95,-3.75,103.64,69.80000000000001,1.22
Pechenga,12,RU,1537653161,69,58.89,41.46,65.03,6.82
Petersburg,90,US,1537651140,69,37.23,-77.4,82.4,3.6
Pevek,92,RU,1537653163,100,69.7,170.27,41.9,2.02
Phek,12,IN,1537653164,92,25.7,94.46,64.58000000000001,0.87
Piacabucu,12,BR,1537653166,73,-10.41,-36.43,77.81,5.12
Pirgos,20,GR,1537651200,83,35.12,25.72,73.4,3.6
Pisco,0,PE,1537650000,30,-13.71,-76.2,71.6,6.2
Pokhvistnevo,8,RU,1537653170,83,53.65,52.12,54.14,1.97
Ponta do Sol,8,BR,1537653172,61,-20.63,-46.0,76.00999999999999,1.62
Pontal do Parana,20,BR,1537650000,83,-25.67,-48.51,71.6,3.6
Pontes e Lacerda,44,BR,1537653173,85,-15.23,-59.33,77.53999999999999,2.52
Port Alfred,0,ZA,1537653174,100,-33.59,26.89,61.97,4.22
Port Blair,44,IN,1537653174,100,11.67,92.75,82.22,3.62
Port Elizabeth,90,US,1537649760,57,39.31,-74.98,75.02,4.6
Port Hardy,20,CA,1537650000,54,50.7,-127.42,59.0,5.7
Port Hawkesbury,1,CA,1537650000,58,45.62,-61.36,57.2,6.7
Port Hedland,32,AU,1537651800,37,-20.31,118.58,69.80000000000001,3.6
Port Macquarie,0,AU,1537650000,81,-31.43,152.91,53.6,2.6
Port-Gentil,75,GA,1537650000,88,-0.72,8.78,78.80000000000001,5.7
Portland,75,US,1537649580,63,45.52,-122.67,68.0,4.1
Powell River,75,CA,1537651860,93,49.84,-124.52,59.0,2.42
Poyarkovo,92,RU,1537653187,99,49.62,128.65,50.540000000000006,2.87
Pozo Colorado,0,PY,1537653188,42,-23.49,-58.8,94.91,7.67
